row,plot,treatment,rep,flag,fruit,firm.1,firm.2
2,6,ctrl,1,Pink,1,15.104,17.397
2,6,ctrl,1,Pink,2,14.222,16.78
2,6,ctrl,1,Pink,3,20.771,14.112
2,6,ctrl,1,Pink,4,17.64,15.766
2,6,ctrl,1,Pink,5,14.707,17.816
2,6,ctrl,1,Pink,6,16.317,16.934
2,6,ctrl,1,Pink,7,15.788,16.449
2,6,ctrl,1,Pink,8,14.641,15.942
2,6,ctrl,1,Pink,9,15.854,16.78
2,6,ctrl,1,Pink,10,15.016,14.884
2,6,ctrl,1,Pink,11,15.347,13.649
2,6,ctrl,1,Pink,12,15.347,13.936
1,3,avg,1,BlueBlack,1,14.443,15.545
1,3,avg,1,BlueBlack,2,16.78,13.649
1,3,avg,1,BlueBlack,3,16.758,16.56
1,3,avg,1,BlueBlack,4,14.707,14.09
1,3,avg,1,BlueBlack,5,13.715,15.567
1,3,avg,1,BlueBlack,6,16.229,18.191
1,3,avg,1,BlueBlack,7,14.024,17.728
1,3,avg,1,BlueBlack,8,16.405,15.523
1,3,avg,1,BlueBlack,9,15.611,13.627
1,3,avg,1,BlueBlack,10,18.235,15.281
1,3,avg,1,BlueBlack,11,14.31,15.479
1,3,avg,1,BlueBlack,12,14.575,14.994
1,1,naa,1,OrangeWhite,1,14.972,16.824
1,1,naa,1,OrangeWhite,2,14.333,16.295
1,1,naa,1,OrangeWhite,3,16.229,14.663
1,1,naa,1,OrangeWhite,4,15.148,15.281
1,1,naa,1,OrangeWhite,5,14.002,19.338
1,1,naa,1,OrangeWhite,6,14.884,15.281
1,1,naa,1,OrangeWhite,7,14.575,14.002
1,1,naa,1,OrangeWhite,8,15.06,15.766
1,1,naa,1,OrangeWhite,9,14.399,14.002
1,1,naa,1,OrangeWhite,10,14.222,16.163
1,1,naa,1,OrangeWhite,11,14.487,14.421
1,1,naa,1,OrangeWhite,12,17.816,14.156
1,2,ethephon,1,BlackWhite,1,14.619,16.427
1,2,ethephon,1,BlackWhite,2,15.126,16.141
1,2,ethephon,1,BlackWhite,3,14.509,14.928
1,2,ethephon,1,BlackWhite,4,15.038,16.207
1,2,ethephon,1,BlackWhite,5,13.936,16.052
1,2,ethephon,1,BlackWhite,6,16.538,16.934
1,2,ethephon,1,BlackWhite,7,13.936,14.178
1,2,ethephon,1,BlackWhite,8,16.978,15.986
1,2,ethephon,1,BlackWhite,9,15.788,15.082
1,2,ethephon,1,BlackWhite,10,15.7,16.934
1,2,ethephon,1,BlackWhite,11,13.98,14.377
1,2,ethephon,1,BlackWhite,12,14.884,15.347
2,7,ctrl,2,Pink,1,16.03,15.435
2,7,ctrl,2,Pink,2,17.287,16.934
2,7,ctrl,2,Pink,3,18.191,15.832
2,7,ctrl,2,Pink,4,17.508,17.75
2,7,ctrl,2,Pink,5,14.685,14.796
2,7,ctrl,2,Pink,6,14.068,15.633
2,7,ctrl,2,Pink,7,14.994,18.456
2,7,ctrl,2,Pink,8,16.493,16.714
2,7,ctrl,2,Pink,9,16.493,14.928
2,7,ctrl,2,Pink,10,15.92,16.89
2,7,ctrl,2,Pink,11,14.685,15.479
2,7,ctrl,2,Pink,12,15.369,15.192
1,4,avg,2,BlueBlack,1,15.7,14.729
1,4,avg,2,BlueBlack,2,16.538,14.531
1,4,avg,2,BlueBlack,3,16.604,16.978
1,4,avg,2,BlueBlack,4,15.766,14.134
1,4,avg,2,BlueBlack,5,14.619,16.67
1,4,avg,2,BlueBlack,6,14.95,15.17
1,4,avg,2,BlueBlack,7,15.81,15.501
1,4,avg,2,BlueBlack,8,14.707,14.818
1,4,avg,2,BlueBlack,9,16.736,15.567
1,4,avg,2,BlueBlack,10,14.112,15.678
1,4,avg,2,BlueBlack,11,15.567,14.531
1,4,avg,2,BlueBlack,12,13.208,15.347
3,13,naa,2,OrangeWhite,1,15.347,14.443
3,13,naa,2,OrangeWhite,2,17.067,16.207
3,13,naa,2,OrangeWhite,3,14.972,16.692
3,13,naa,2,OrangeWhite,4,16.141,18.059
3,13,naa,2,OrangeWhite,5,16.229,15.788
3,13,naa,2,OrangeWhite,6,15.832,17.772
3,13,naa,2,OrangeWhite,7,16.141,15.413
3,13,naa,2,OrangeWhite,8,17.133,16.317
3,13,naa,2,OrangeWhite,9,17.552,15.545
3,13,naa,2,OrangeWhite,10,14.112,16.78
3,13,naa,2,OrangeWhite,11,14.729,13.605
3,13,naa,2,OrangeWhite,12,16.185,14.178
1,5,ethephon,2,BlackWhite,1,14.773,14.685
1,5,ethephon,2,BlackWhite,2,17.023,17.971
1,5,ethephon,2,BlackWhite,3,14.244,16.648
1,5,ethephon,2,BlackWhite,4,14.377,14.84
1,5,ethephon,2,BlackWhite,5,15.082,15.038
1,5,ethephon,2,BlackWhite,6,15.259,15.479
1,5,ethephon,2,BlackWhite,7,15.876,16.251
1,5,ethephon,2,BlackWhite,8,17.067,17.442
1,5,ethephon,2,BlackWhite,9,14.84,15.744
1,5,ethephon,2,BlackWhite,10,16.008,14.862
1,5,ethephon,2,BlackWhite,11,15.369,15.325
1,5,ethephon,2,BlackWhite,12,18.632,18.015
2,12,ctrl,3,Pink,1,15.854,16.912
2,12,ctrl,3,Pink,2,16.515,17.287
2,12,ctrl,3,Pink,3,17.75,15.126
2,12,ctrl,3,Pink,4,15.766,15.237
2,12,ctrl,3,Pink,5,15.17,15.898
2,12,ctrl,3,Pink,6,17.684,16.361
2,12,ctrl,3,Pink,7,15.744,16.383
2,12,ctrl,3,Pink,8,17.927,18.853
2,12,ctrl,3,Pink,9,18.346,14.134
2,12,ctrl,3,Pink,10,16.934,17.221
2,12,ctrl,3,Pink,11,15.964,15.876
2,12,ctrl,3,Pink,12,16.538,14.685
2,8,avg,3,BlueBlack,1,18.191,14.707
2,8,avg,3,BlueBlack,2,14.355,14.685
2,8,avg,3,BlueBlack,3,17.706,16.493
2,8,avg,3,BlueBlack,4,15.744,15.259
2,8,avg,3,BlueBlack,5,15.633,14.156
2,8,avg,3,BlueBlack,6,14.333,16.582
2,8,avg,3,BlueBlack,7,16.339,15.237
2,8,avg,3,BlueBlack,8,17.221,16.978
2,8,avg,3,BlueBlack,9,15.788,15.523
2,8,avg,3,BlueBlack,10,14.796,16.03
2,8,avg,3,BlueBlack,11,16.119,15.038
