row,plot,treatment,rep,flag,brix
2,6,ctrl,1,Pink,9.3
1,3,avg,1,BlueBlack,8.8
1,1,naa,1,OrangeWhite,8.5
1,2,ethephon,1,BlackWhite,8.6
2,7,ctrl,2,Pink,9.1
1,4,avg,2,BlueBlack,8.5
3,13,naa,2,OrangeWhite,9
1,5,ethephon,2,BlackWhite,9.5
2,12,ctrl,3,Pink,9.6
2,8,avg,3,BlueBlack,9.2
3,14,naa,3,OrangeWhite,9.3
2,9,ethephon,3,BlackWhite,9.6
3,17,ctrl,4,Pink,9.4
2,10,avg,4,BlueBlack,9.1
3,15,naa,4,OrangeWhite,9.5
2,11,ethephon,4,BlackWhite,9.4
3,20,ctrl,5,Pink,9.2
3,18,avg,5,BlueBlack,10.3
3,16,naa,5,OrangeWhite,9.8
3,19,ethephon,5,BlackWhite,9.4
