row,plot,treatment,rep,flag,brix
2,6,ctrl,1,Pink,10.6
1,3,avg,1,BlueBlack,9.9
1,1,naa,1,OrangeWhite,9.9
1,2,ethephon,1,BlackWhite,11.6
2,7,ctrl,2,Pink,10
1,4,avg,2,BlueBlack,9.6
3,13,naa,2,OrangeWhite,10.3
1,5,ethephon,2,BlackWhite,11.3
2,12,ctrl,3,Pink,10.3
2,8,avg,3,BlueBlack,10.1
3,14,naa,3,OrangeWhite,10.1
2,9,ethephon,3,BlackWhite,11.5
3,17,ctrl,4,Pink,10.9
2,10,avg,4,BlueBlack,10.1
3,15,naa,4,OrangeWhite,10.6
2,11,ethephon,4,BlackWhite,11
3,20,ctrl,5,Pink,10.3
3,18,avg,5,BlueBlack,11.3
3,16,naa,5,OrangeWhite,11.2
3,19,ethephon,5,BlackWhite,11.7
