row,plot,treatment,rep,flag,fruit,IEC
2,6,ctrl,1,Pink,1,0
2,6,ctrl,1,Pink,2,0.15601
2,6,ctrl,1,Pink,3,0
2,6,ctrl,1,Pink,4,0
2,6,ctrl,1,Pink,5,0
2,6,ctrl,1,Pink,6,0.1467
2,6,ctrl,1,Pink,7,0
2,6,ctrl,1,Pink,8,0.0885
2,6,ctrl,1,Pink,9,0.00931
2,6,ctrl,1,Pink,10,0.038
1,3,avg,1,BlueBlack,1,0.02129
1,3,avg,1,BlueBlack,2,0.0406
1,3,avg,1,BlueBlack,3,0
1,3,avg,1,BlueBlack,4,0.0185
1,3,avg,1,BlueBlack,5,0
1,3,avg,1,BlueBlack,6,0
1,3,avg,1,BlueBlack,7,0.0051
1,3,avg,1,BlueBlack,8,0.0702
1,3,avg,1,BlueBlack,9,0.0797
1,3,avg,1,BlueBlack,10,0.1686
1,1,naa,1,OrangeWhite,1,0.0524
1,1,naa,1,OrangeWhite,2,0.022
1,1,naa,1,OrangeWhite,3,0.0197
1,1,naa,1,OrangeWhite,4,0
1,1,naa,1,OrangeWhite,5,0.059
1,1,naa,1,OrangeWhite,6,0.019
1,1,naa,1,OrangeWhite,7,0.0309
1,1,naa,1,OrangeWhite,8,0.0499
1,1,naa,1,OrangeWhite,9,0.0117
1,1,naa,1,OrangeWhite,10,0.0687
1,2,ethephon,1,BlackWhite,1,0.3972
1,2,ethephon,1,BlackWhite,2,0.1042
1,2,ethephon,1,BlackWhite,3,0.1417
1,2,ethephon,1,BlackWhite,4,0.3431
1,2,ethephon,1,BlackWhite,5,0.349
1,2,ethephon,1,BlackWhite,6,0.2106
1,2,ethephon,1,BlackWhite,7,NA
1,2,ethephon,1,BlackWhite,8,0.1109
1,2,ethephon,1,BlackWhite,9,0.2279
1,2,ethephon,1,BlackWhite,10,0.5556
2,7,ctrl,2,Pink,1,0.0352
2,7,ctrl,2,Pink,2,0
2,7,ctrl,2,Pink,3,0.0591
2,7,ctrl,2,Pink,4,0.0197
2,7,ctrl,2,Pink,5,0.1333
2,7,ctrl,2,Pink,6,0
2,7,ctrl,2,Pink,7,1.446
2,7,ctrl,2,Pink,8,0
2,7,ctrl,2,Pink,9,0
2,7,ctrl,2,Pink,10,0.0159
1,4,avg,2,BlueBlack,1,0
1,4,avg,2,BlueBlack,2,0
1,4,avg,2,BlueBlack,3,0.0867
1,4,avg,2,BlueBlack,4,0
1,4,avg,2,BlueBlack,5,0
1,4,avg,2,BlueBlack,6,0.0197
1,4,avg,2,BlueBlack,7,0.1374
1,4,avg,2,BlueBlack,8,0.0654
1,4,avg,2,BlueBlack,9,0.1015
1,4,avg,2,BlueBlack,10,0.0602
3,13,naa,2,OrangeWhite,1,0.0451
3,13,naa,2,OrangeWhite,2,0
3,13,naa,2,OrangeWhite,3,0
3,13,naa,2,OrangeWhite,4,0
3,13,naa,2,OrangeWhite,5,0.0122
3,13,naa,2,OrangeWhite,6,0
3,13,naa,2,OrangeWhite,7,0.0205
3,13,naa,2,OrangeWhite,8,0
3,13,naa,2,OrangeWhite,9,0
3,13,naa,2,OrangeWhite,10,0.0107
1,5,ethephon,2,BlackWhite,1,0.1565
1,5,ethephon,2,BlackWhite,2,0.5311
1,5,ethephon,2,BlackWhite,3,0.4775
1,5,ethephon,2,BlackWhite,4,0.1052
1,5,ethephon,2,BlackWhite,5,0.4293
1,5,ethephon,2,BlackWhite,6,0.3659
1,5,ethephon,2,BlackWhite,7,0.176
1,5,ethephon,2,BlackWhite,8,0.3145
1,5,ethephon,2,BlackWhite,9,0.6666
1,5,ethephon,2,BlackWhite,10,0.0339
2,12,ctrl,3,Pink,1,0.0168
2,12,ctrl,3,Pink,2,0.0262
2,12,ctrl,3,Pink,3,0
2,12,ctrl,3,Pink,4,0
2,12,ctrl,3,Pink,5,0.0403
2,12,ctrl,3,Pink,6,0.0692
2,12,ctrl,3,Pink,7,0.0194
2,12,ctrl,3,Pink,8,0.0713
2,12,ctrl,3,Pink,9,0
2,12,ctrl,3,Pink,10,0
2,8,avg,3,BlueBlack,1,0
2,8,avg,3,BlueBlack,2,0
2,8,avg,3,BlueBlack,3,0.016
2,8,avg,3,BlueBlack,4,0
2,8,avg,3,BlueBlack,5,0
2,8,avg,3,BlueBlack,6,0.0216
2,8,avg,3,BlueBlack,7,0
2,8,avg,3,BlueBlack,8,0
2,8,avg,3,BlueBlack,9,0
2,8,avg,3,BlueBlack,10,0
3,14,naa,3,OrangeWhite,1,0
3,14,naa,3,OrangeWhite,2,0
3,14,naa,3,OrangeWhite,3,0
3,14,naa,3,OrangeWhite,4,0
3,14,naa,3,OrangeWhite,5,0.0057
3,14,naa,3,OrangeWhite,6,0.0985
3,14,naa,3,OrangeWhite,7,0
3,14,naa,3,OrangeWhite,8,0
3,14,naa,3,OrangeWhite,9,0.6054
