row,plot,treatment,rep,flag,fruit,IEC
2,6,ctrl,1,Pink,1,0.0717
2,6,ctrl,1,Pink,2,1.9856
2,6,ctrl,1,Pink,3,0.3564
2,6,ctrl,1,Pink,4,0.5625
2,6,ctrl,1,Pink,5,0.0526
2,6,ctrl,1,Pink,6,0
2,6,ctrl,1,Pink,7,0.0635
2,6,ctrl,1,Pink,8,0
2,6,ctrl,1,Pink,9,7.9592
2,6,ctrl,1,Pink,10,0
1,3,avg,1,BlueBlack,1,0
1,3,avg,1,BlueBlack,2,0.2203
1,3,avg,1,BlueBlack,3,0
1,3,avg,1,BlueBlack,4,0.0892
1,3,avg,1,BlueBlack,5,0.0384
1,3,avg,1,BlueBlack,6,0.0326
1,3,avg,1,BlueBlack,7,0
1,3,avg,1,BlueBlack,8,0.0514
1,3,avg,1,BlueBlack,9,0
1,3,avg,1,BlueBlack,10,0.0761
1,1,naa,1,OrangeWhite,1,0.1683
1,1,naa,1,OrangeWhite,2,0
1,1,naa,1,OrangeWhite,3,0
1,1,naa,1,OrangeWhite,4,0.1074
1,1,naa,1,OrangeWhite,5,0
1,1,naa,1,OrangeWhite,6,0.0196
1,1,naa,1,OrangeWhite,7,0.0902
1,1,naa,1,OrangeWhite,8,0
1,1,naa,1,OrangeWhite,9,0.0475
1,1,naa,1,OrangeWhite,10,0.0525
1,2,ethephon,1,BlackWhite,1,1.7377
1,2,ethephon,1,BlackWhite,2,0.1502
1,2,ethephon,1,BlackWhite,3,0.0293
1,2,ethephon,1,BlackWhite,4,0.1761
1,2,ethephon,1,BlackWhite,5,0.116
1,2,ethephon,1,BlackWhite,6,0.1195
1,2,ethephon,1,BlackWhite,7,5.2435
1,2,ethephon,1,BlackWhite,8,0.1239
1,2,ethephon,1,BlackWhite,9,0.0435
1,2,ethephon,1,BlackWhite,10,3.539
2,7,ctrl,2,Pink,1,0.0662
2,7,ctrl,2,Pink,2,0.134
2,7,ctrl,2,Pink,3,0.3713
