row,plot,treatment,rep,flag,fruit,firm1,firm2
2,6,ctrl,1,Pink,1,14.773,18.743
2,6,ctrl,1,Pink,2,16.427,15.7
2,6,ctrl,1,Pink,3,17.045,15.237
2,6,ctrl,1,Pink,4,14.487,15.457
2,6,ctrl,1,Pink,5,14.244,17.045
2,6,ctrl,1,Pink,6,15.038,16.317
2,6,ctrl,1,Pink,7,13.914,15.898
2,6,ctrl,1,Pink,8,15.545,15.016
2,6,ctrl,1,Pink,9,15.082,19.448
2,6,ctrl,1,Pink,10,16.912,16.582
2,6,ctrl,1,Pink,11,14.112,15.325
2,6,ctrl,1,Pink,12,13.252,15.413
1,3,avg,1,BlueBlack,1,15.347,15.744
1,3,avg,1,BlueBlack,2,17.662,14.95
1,3,avg,1,BlueBlack,3,17.772,15.17
1,3,avg,1,BlueBlack,4,15.016,14.399
1,3,avg,1,BlueBlack,5,14.729,16.229
1,3,avg,1,BlueBlack,6,15.457,15.17
1,3,avg,1,BlueBlack,7,16.185,15.964
1,3,avg,1,BlueBlack,8,14.531,14.178
1,3,avg,1,BlueBlack,9,17.265,17.397
1,3,avg,1,BlueBlack,10,17.397,15.06
1,3,avg,1,BlueBlack,11,14.884,14.751
1,3,avg,1,BlueBlack,12,18.765,16.648
1,1,naa,1,OrangeWhite,1,17.045,15.523
1,1,naa,1,OrangeWhite,2,15.832,14.553
1,1,naa,1,OrangeWhite,3,14.377,16.405
1,1,naa,1,OrangeWhite,4,13.605,15.104
1,1,naa,1,OrangeWhite,5,15.567,16.273
1,1,naa,1,OrangeWhite,6,14.333,14.134
1,1,naa,1,OrangeWhite,7,14.862,13.759
1,1,naa,1,OrangeWhite,8,16.03,15.347
1,1,naa,1,OrangeWhite,9,12.701,18.831
1,1,naa,1,OrangeWhite,10,14.09,17.772
1,1,naa,1,OrangeWhite,11,15.876,15.192
1,1,naa,1,OrangeWhite,12,14.729,13.892
1,2,ethephon,1,BlackWhite,1,14.377,16.692
1,2,ethephon,1,BlackWhite,2,18.522,19.36
1,2,ethephon,1,BlackWhite,3,14.068,14.355
1,2,ethephon,1,BlackWhite,4,16.582,14.553
1,2,ethephon,1,BlackWhite,5,16.185,17.111
1,2,ethephon,1,BlackWhite,6,14.729,15.788
1,2,ethephon,1,BlackWhite,7,16.692,14.487
1,2,ethephon,1,BlackWhite,8,15.876,14.928
1,2,ethephon,1,BlackWhite,9,17.861,15.391
1,2,ethephon,1,BlackWhite,10,15.501,15.744
1,2,ethephon,1,BlackWhite,11,17.155,17.684
1,2,ethephon,1,BlackWhite,12,15.082,14.09
2,7,ctrl,2,Pink,1,14.465,15.435
2,7,ctrl,2,Pink,2,15.06,16.648
2,7,ctrl,2,Pink,3,16.471,14.619
2,7,ctrl,2,Pink,4,17.111,17.287
2,7,ctrl,2,Pink,5,17.023,17.971
2,7,ctrl,2,Pink,6,14.663,16.141
2,7,ctrl,2,Pink,7,17.993,15.788
2,7,ctrl,2,Pink,8,15.567,14.773
2,7,ctrl,2,Pink,9,17.221,17.486
2,7,ctrl,2,Pink,10,16.295,16.736
2,7,ctrl,2,Pink,11,16.604,14.818
2,7,ctrl,2,Pink,12,16.56,16.802
1,4,avg,2,BlueBlack,1,15.655,15.06
1,4,avg,2,BlueBlack,2,17.133,15.986
1,4,avg,2,BlueBlack,3,14.884,15.192
1,4,avg,2,BlueBlack,4,16.119,16.361
1,4,avg,2,BlueBlack,5,15.986,16.956
1,4,avg,2,BlueBlack,6,14.465,15.281
1,4,avg,2,BlueBlack,7,15.545,15.589
1,4,avg,2,BlueBlack,8,17.905,16.515
1,4,avg,2,BlueBlack,9,16.758,14.553
1,4,avg,2,BlueBlack,10,18.765,14.906
1,4,avg,2,BlueBlack,11,16.185,13.605
1,4,avg,2,BlueBlack,12,15.567,15.964
3,13,naa,2,OrangeWhite,1,15.589,14.156
3,13,naa,2,OrangeWhite,2,15.545,14.333
3,13,naa,2,OrangeWhite,3,16.538,14.641
3,13,naa,2,OrangeWhite,4,16.692,16.119
3,13,naa,2,OrangeWhite,5,16.119,15.92
3,13,naa,2,OrangeWhite,6,14.112,15.611
3,13,naa,2,OrangeWhite,7,14.024,15.898
