row,plot,treatment,rep,flag,fruit,stach
2,6,ctrl,1,Pink,1,4
2,6,ctrl,1,Pink,2,3
2,6,ctrl,1,Pink,3,4
2,6,ctrl,1,Pink,4,4
2,6,ctrl,1,Pink,5,3
2,6,ctrl,1,Pink,6,2
2,6,ctrl,1,Pink,7,4
2,6,ctrl,1,Pink,8,4
2,6,ctrl,1,Pink,9,4
2,6,ctrl,1,Pink,10,5
2,6,ctrl,1,Pink,11,2
2,6,ctrl,1,Pink,12,4
1,3,avg,1,BlueBlack,1,3
1,3,avg,1,BlueBlack,2,2
1,3,avg,1,BlueBlack,3,2
1,3,avg,1,BlueBlack,4,5
1,3,avg,1,BlueBlack,5,5
1,3,avg,1,BlueBlack,6,3
1,3,avg,1,BlueBlack,7,3
1,3,avg,1,BlueBlack,8,2
1,3,avg,1,BlueBlack,9,4
1,3,avg,1,BlueBlack,10,3
1,3,avg,1,BlueBlack,11,3
1,3,avg,1,BlueBlack,12,2
1,1,naa,1,OrangeWhite,1,2
1,1,naa,1,OrangeWhite,2,4
1,1,naa,1,OrangeWhite,3,2
1,1,naa,1,OrangeWhite,4,5
1,1,naa,1,OrangeWhite,5,4
1,1,naa,1,OrangeWhite,6,4
1,1,naa,1,OrangeWhite,7,2
1,1,naa,1,OrangeWhite,8,2
1,1,naa,1,OrangeWhite,9,2
1,1,naa,1,OrangeWhite,10,6
1,1,naa,1,OrangeWhite,11,3
1,1,naa,1,OrangeWhite,12,2
1,2,ethephon,1,BlackWhite,1,3
1,2,ethephon,1,BlackWhite,2,3
1,2,ethephon,1,BlackWhite,3,5
1,2,ethephon,1,BlackWhite,4,6
1,2,ethephon,1,BlackWhite,5,8
1,2,ethephon,1,BlackWhite,6,3
1,2,ethephon,1,BlackWhite,7,4
1,2,ethephon,1,BlackWhite,8,5
1,2,ethephon,1,BlackWhite,9,3
1,2,ethephon,1,BlackWhite,10,3
1,2,ethephon,1,BlackWhite,11,4
1,2,ethephon,1,BlackWhite,12,2
2,7,ctrl,2,Pink,1,3
2,7,ctrl,2,Pink,2,4
2,7,ctrl,2,Pink,3,3
2,7,ctrl,2,Pink,4,5
2,7,ctrl,2,Pink,5,2
2,7,ctrl,2,Pink,6,3
2,7,ctrl,2,Pink,7,3
2,7,ctrl,2,Pink,8,3
2,7,ctrl,2,Pink,9,2
2,7,ctrl,2,Pink,10,4
2,7,ctrl,2,Pink,11,4
2,7,ctrl,2,Pink,12,3
1,4,avg,2,BlueBlack,1,NA
1,4,avg,2,BlueBlack,2,4
1,4,avg,2,BlueBlack,3,4
1,4,avg,2,BlueBlack,4,3
1,4,avg,2,BlueBlack,5,2
1,4,avg,2,BlueBlack,6,4
1,4,avg,2,BlueBlack,7,4
1,4,avg,2,BlueBlack,8,2
1,4,avg,2,BlueBlack,9,4
1,4,avg,2,BlueBlack,10,4
1,4,avg,2,BlueBlack,11,2
1,4,avg,2,BlueBlack,12,7
3,13,naa,2,OrangeWhite,1,NA
3,13,naa,2,OrangeWhite,2,NA
3,13,naa,2,OrangeWhite,3,3
3,13,naa,2,OrangeWhite,4,2
3,13,naa,2,OrangeWhite,5,2
3,13,naa,2,OrangeWhite,6,3
3,13,naa,2,OrangeWhite,7,4
3,13,naa,2,OrangeWhite,8,4
3,13,naa,2,OrangeWhite,9,2
3,13,naa,2,OrangeWhite,10,3
3,13,naa,2,OrangeWhite,11,2
3,13,naa,2,OrangeWhite,12,3
1,5,ethephon,2,BlackWhite,1,5
1,5,ethephon,2,BlackWhite,2,2
1,5,ethephon,2,BlackWhite,3,3
1,5,ethephon,2,BlackWhite,4,3
1,5,ethephon,2,BlackWhite,5,4
1,5,ethephon,2,BlackWhite,6,5
1,5,ethephon,2,BlackWhite,7,3
1,5,ethephon,2,BlackWhite,8,4
1,5,ethephon,2,BlackWhite,9,3
1,5,ethephon,2,BlackWhite,10,6
1,5,ethephon,2,BlackWhite,11,6
1,5,ethephon,2,BlackWhite,12,2
2,12,ctrl,3,Pink,1,5
2,12,ctrl,3,Pink,2,5
2,12,ctrl,3,Pink,3,3
2,12,ctrl,3,Pink,4,3
2,12,ctrl,3,Pink,5,4
2,12,ctrl,3,Pink,6,8
2,12,ctrl,3,Pink,7,4
2,12,ctrl,3,Pink,8,2
2,12,ctrl,3,Pink,9,2
2,12,ctrl,3,Pink,10,3
2,12,ctrl,3,Pink,11,3
2,12,ctrl,3,Pink,12,3
2,8,avg,3,BlueBlack,1,4
2,8,avg,3,BlueBlack,2,3
2,8,avg,3,BlueBlack,3,4
2,8,avg,3,BlueBlack,4,3
2,8,avg,3,BlueBlack,5,3
2,8,avg,3,BlueBlack,6,3
2,8,avg,3,BlueBlack,7,4
2,8,avg,3,BlueBlack,8,4
2,8,avg,3,BlueBlack,9,3
2,8,avg,3,BlueBlack,10,3
2,8,avg,3,BlueBlack,11,3
2,8,avg,3,BlueBlack,12,2
3,14,naa,3,OrangeWhite,1,2
3,14,naa,3,OrangeWhite,2,3
3,14,naa,3,OrangeWhite,3,2
3,14,naa,3,OrangeWhite,4,4
3,14,naa,3,OrangeWhite,5,2
3,14,naa,3,OrangeWhite,6,5
3,14,naa,3,OrangeWhite,7,3
3,14,naa,3,OrangeWhite,8,4
3,14,naa,3,OrangeWhite,9,3
3,14,naa,3,OrangeWhite,10,2
3,14,naa,3,OrangeWhite,11,7
3,14,naa,3,OrangeWhite,12,3
2,9,ethephon,3,BlackWhite,1,6
2,9,ethephon,3,BlackWhite,2,5
2,9,ethephon,3,BlackWhite,3,6
2,9,ethephon,3,BlackWhite,4,4
2,9,ethephon,3,BlackWhite,5,6
2,9,ethephon,3,BlackWhite,6,2
2,9,ethephon,3,BlackWhite,7,5
2,9,ethephon,3,BlackWhite,8,3
2,9,ethephon,3,BlackWhite,9,4
2,9,ethephon,3,BlackWhite,10,6
2,9,ethephon,3,BlackWhite,11,3
2,9,ethephon,3,BlackWhite,12,4
3,17,ctrl,4,Pink,1,4
3,17,ctrl,4,Pink,2,2
3,17,ctrl,4,Pink,3,3
3,17,ctrl,4,Pink,4,3
3,17,ctrl,4,Pink,5,5
3,17,ctrl,4,Pink,6,2
3,17,ctrl,4,Pink,7,1
3,17,ctrl,4,Pink,8,3
3,17,ctrl,4,Pink,9,3
3,17,ctrl,4,Pink,10,4
3,17,ctrl,4,Pink,11,3
3,17,ctrl,4,Pink,12,2
2,10,avg,4,BlueBlack,1,3
2,10,avg,4,BlueBlack,2,1
2,10,avg,4,BlueBlack,3,2
2,10,avg,4,BlueBlack,4,1
2,10,avg,4,BlueBlack,5,3
2,10,avg,4,BlueBlack,6,3
2,10,avg,4,BlueBlack,7,3
2,10,avg,4,BlueBlack,8,4
2,10,avg,4,BlueBlack,9,4
2,10,avg,4,BlueBlack,10,1
2,10,avg,4,BlueBlack,11,2
2,10,avg,4,BlueBlack,12,6
3,15,naa,4,OrangeWhite,1,1
3,15,naa,4,OrangeWhite,2,4
3,15,naa,4,OrangeWhite,3,3
3,15,naa,4,OrangeWhite,4,3
3,15,naa,4,OrangeWhite,5,4
3,15,naa,4,OrangeWhite,6,5
3,15,naa,4,OrangeWhite,7,3
3,15,naa,4,OrangeWhite,8,6
3,15,naa,4,OrangeWhite,9,7
3,15,naa,4,OrangeWhite,10,3
3,15,naa,4,OrangeWhite,11,2
3,15,naa,4,OrangeWhite,12,3
2,11,ethephon,4,BlackWhite,1,4
2,11,ethephon,4,BlackWhite,2,6
2,11,ethephon,4,BlackWhite,3,2
2,11,ethephon,4,BlackWhite,4,6
2,11,ethephon,4,BlackWhite,5,6
2,11,ethephon,4,BlackWhite,6,5
2,11,ethephon,4,BlackWhite,7,5
2,11,ethephon,4,BlackWhite,8,6
2,11,ethephon,4,BlackWhite,9,3
2,11,ethephon,4,BlackWhite,10,7
2,11,ethephon,4,BlackWhite,11,7
2,11,ethephon,4,BlackWhite,12,5
3,20,ctrl,5,Pink,1,4
3,20,ctrl,5,Pink,2,2
3,20,ctrl,5,Pink,3,4
3,20,ctrl,5,Pink,4,3
3,20,ctrl,5,Pink,5,3
3,20,ctrl,5,Pink,6,3
3,20,ctrl,5,Pink,7,3
3,20,ctrl,5,Pink,8,3
3,20,ctrl,5,Pink,9,3
3,20,ctrl,5,Pink,10,3
3,20,ctrl,5,Pink,11,5
3,20,ctrl,5,Pink,12,3
3,18,avg,5,BlueBlack,1,4
3,18,avg,5,BlueBlack,2,3
3,18,avg,5,BlueBlack,3,3
3,18,avg,5,BlueBlack,4,3
3,18,avg,5,BlueBlack,5,3
3,18,avg,5,BlueBlack,6,3
3,18,avg,5,BlueBlack,7,3
3,18,avg,5,BlueBlack,8,NA
3,18,avg,5,BlueBlack,9,3
3,18,avg,5,BlueBlack,10,4
3,18,avg,5,BlueBlack,11,2
3,18,avg,5,BlueBlack,12,2
3,16,naa,5,OrangeWhite,1,4
3,16,naa,5,OrangeWhite,2,3
3,16,naa,5,OrangeWhite,3,3
3,16,naa,5,OrangeWhite,4,4
3,16,naa,5,OrangeWhite,5,3
3,16,naa,5,OrangeWhite,6,3
3,16,naa,5,OrangeWhite,7,2
3,16,naa,5,OrangeWhite,8,2
3,16,naa,5,OrangeWhite,9,3
3,16,naa,5,OrangeWhite,10,4
3,16,naa,5,OrangeWhite,11,3
3,16,naa,5,OrangeWhite,12,NA
3,19,ethephon,5,BlackWhite,1,3
3,19,ethephon,5,BlackWhite,2,7
3,19,ethephon,5,BlackWhite,3,4
3,19,ethephon,5,BlackWhite,4,3
3,19,ethephon,5,BlackWhite,5,3
3,19,ethephon,5,BlackWhite,6,4
3,19,ethephon,5,BlackWhite,7,3
3,19,ethephon,5,BlackWhite,8,4
3,19,ethephon,5,BlackWhite,9,5
3,19,ethephon,5,BlackWhite,10,4
3,19,ethephon,5,BlackWhite,11,7
3,19,ethephon,5,BlackWhite,12,3
