row,plot,treatment,rep,flag,fruit
2,6,ctrl,1,Pink,1
2,6,ctrl,1,Pink,2
2,6,ctrl,1,Pink,3
2,6,ctrl,1,Pink,4
2,6,ctrl,1,Pink,5
2,6,ctrl,1,Pink,6
2,6,ctrl,1,Pink,7
2,6,ctrl,1,Pink,8
2,6,ctrl,1,Pink,9
2,6,ctrl,1,Pink,10
1,3,avg,1,BlueBlack,1
1,3,avg,1,BlueBlack,2
1,3,avg,1,BlueBlack,3
1,3,avg,1,BlueBlack,4
1,3,avg,1,BlueBlack,5
1,3,avg,1,BlueBlack,6
1,3,avg,1,BlueBlack,7
1,3,avg,1,BlueBlack,8
1,3,avg,1,BlueBlack,9
1,3,avg,1,BlueBlack,10
1,1,naa,1,OrangeWhite,1
1,1,naa,1,OrangeWhite,2
1,1,naa,1,OrangeWhite,3
1,1,naa,1,OrangeWhite,4
1,1,naa,1,OrangeWhite,5
1,1,naa,1,OrangeWhite,6
1,1,naa,1,OrangeWhite,7
1,1,naa,1,OrangeWhite,8
1,1,naa,1,OrangeWhite,9
1,1,naa,1,OrangeWhite,10
1,2,ethephon,1,BlackWhite,1
1,2,ethephon,1,BlackWhite,2
1,2,ethephon,1,BlackWhite,3
1,2,ethephon,1,BlackWhite,4
1,2,ethephon,1,BlackWhite,5
1,2,ethephon,1,BlackWhite,6
1,2,ethephon,1,BlackWhite,7
1,2,ethephon,1,BlackWhite,8
1,2,ethephon,1,BlackWhite,9
1,2,ethephon,1,BlackWhite,10
2,7,ctrl,2,Pink,1
2,7,ctrl,2,Pink,2
2,7,ctrl,2,Pink,3
2,7,ctrl,2,Pink,4
2,7,ctrl,2,Pink,5
2,7,ctrl,2,Pink,6
2,7,ctrl,2,Pink,7
2,7,ctrl,2,Pink,8
2,7,ctrl,2,Pink,9
2,7,ctrl,2,Pink,10
1,4,avg,2,BlueBlack,1
1,4,avg,2,BlueBlack,2
1,4,avg,2,BlueBlack,3
1,4,avg,2,BlueBlack,4
1,4,avg,2,BlueBlack,5
1,4,avg,2,BlueBlack,6
1,4,avg,2,BlueBlack,7
1,4,avg,2,BlueBlack,8
1,4,avg,2,BlueBlack,9
1,4,avg,2,BlueBlack,10
3,13,naa,2,OrangeWhite,1
3,13,naa,2,OrangeWhite,2
3,13,naa,2,OrangeWhite,3
3,13,naa,2,OrangeWhite,4
3,13,naa,2,OrangeWhite,5
3,13,naa,2,OrangeWhite,6
3,13,naa,2,OrangeWhite,7
3,13,naa,2,OrangeWhite,8
3,13,naa,2,OrangeWhite,9
3,13,naa,2,OrangeWhite,10
1,5,ethephon,2,BlackWhite,1
1,5,ethephon,2,BlackWhite,2
1,5,ethephon,2,BlackWhite,3
1,5,ethephon,2,BlackWhite,4
1,5,ethephon,2,BlackWhite,5
1,5,ethephon,2,BlackWhite,6
1,5,ethephon,2,BlackWhite,7
1,5,ethephon,2,BlackWhite,8
1,5,ethephon,2,BlackWhite,9
1,5,ethephon,2,BlackWhite,10
2,12,ctrl,3,Pink,1
2,12,ctrl,3,Pink,2
2,12,ctrl,3,Pink,3
2,12,ctrl,3,Pink,4
2,12,ctrl,3,Pink,5
2,12,ctrl,3,Pink,6
2,12,ctrl,3,Pink,7
2,12,ctrl,3,Pink,8
2,12,ctrl,3,Pink,9
2,12,ctrl,3,Pink,10
2,8,avg,3,BlueBlack,1
2,8,avg,3,BlueBlack,2
2,8,avg,3,BlueBlack,3
2,8,avg,3,BlueBlack,4
2,8,avg,3,BlueBlack,5
2,8,avg,3,BlueBlack,6
2,8,avg,3,BlueBlack,7
2,8,avg,3,BlueBlack,8
2,8,avg,3,BlueBlack,9
2,8,avg,3,BlueBlack,10
3,14,naa,3,OrangeWhite,1
3,14,naa,3,OrangeWhite,2
3,14,naa,3,OrangeWhite,3
3,14,naa,3,OrangeWhite,4
3,14,naa,3,OrangeWhite,5
3,14,naa,3,OrangeWhite,6
3,14,naa,3,OrangeWhite,7
3,14,naa,3,OrangeWhite,8
3,14,naa,3,OrangeWhite,9
3,14,naa,3,OrangeWhite,10
2,9,ethephon,3,BlackWhite,1
2,9,ethephon,3,BlackWhite,2
2,9,ethephon,3,BlackWhite,3
2,9,ethephon,3,BlackWhite,4
2,9,ethephon,3,BlackWhite,5
2,9,ethephon,3,BlackWhite,6
2,9,ethephon,3,BlackWhite,7
2,9,ethephon,3,BlackWhite,8
2,9,ethephon,3,BlackWhite,9
2,9,ethephon,3,BlackWhite,10
3,17,ctrl,4,Pink,1
3,17,ctrl,4,Pink,2
3,17,ctrl,4,Pink,3
3,17,ctrl,4,Pink,4
3,17,ctrl,4,Pink,5
3,17,ctrl,4,Pink,6
3,17,ctrl,4,Pink,7
3,17,ctrl,4,Pink,8
3,17,ctrl,4,Pink,9
3,17,ctrl,4,Pink,10
2,10,avg,4,BlueBlack,1
2,10,avg,4,BlueBlack,2
2,10,avg,4,BlueBlack,3
2,10,avg,4,BlueBlack,4
2,10,avg,4,BlueBlack,5
2,10,avg,4,BlueBlack,6
2,10,avg,4,BlueBlack,7
2,10,avg,4,BlueBlack,8
2,10,avg,4,BlueBlack,9
2,10,avg,4,BlueBlack,10
3,15,naa,4,OrangeWhite,1
3,15,naa,4,OrangeWhite,2
3,15,naa,4,OrangeWhite,3
3,15,naa,4,OrangeWhite,4
3,15,naa,4,OrangeWhite,5
3,15,naa,4,OrangeWhite,6
3,15,naa,4,OrangeWhite,7
3,15,naa,4,OrangeWhite,8
3,15,naa,4,OrangeWhite,9
3,15,naa,4,OrangeWhite,10
2,11,ethephon,4,BlackWhite,1
2,11,ethephon,4,BlackWhite,2
2,11,ethephon,4,BlackWhite,3
2,11,ethephon,4,BlackWhite,4
2,11,ethephon,4,BlackWhite,5
2,11,ethephon,4,BlackWhite,6
2,11,ethephon,4,BlackWhite,7
2,11,ethephon,4,BlackWhite,8
2,11,ethephon,4,BlackWhite,9
2,11,ethephon,4,BlackWhite,10
3,20,ctrl,5,Pink,1
3,20,ctrl,5,Pink,2
3,20,ctrl,5,Pink,3
3,20,ctrl,5,Pink,4
3,20,ctrl,5,Pink,5
3,20,ctrl,5,Pink,6
3,20,ctrl,5,Pink,7
3,20,ctrl,5,Pink,8
3,20,ctrl,5,Pink,9
3,20,ctrl,5,Pink,10
3,18,avg,5,BlueBlack,1
3,18,avg,5,BlueBlack,2
3,18,avg,5,BlueBlack,3
3,18,avg,5,BlueBlack,4
3,18,avg,5,BlueBlack,5
3,18,avg,5,BlueBlack,6
3,18,avg,5,BlueBlack,7
3,18,avg,5,BlueBlack,8
3,18,avg,5,BlueBlack,9
3,18,avg,5,BlueBlack,10
3,16,naa,5,OrangeWhite,1
3,16,naa,5,OrangeWhite,2
3,16,naa,5,OrangeWhite,3
3,16,naa,5,OrangeWhite,4
3,16,naa,5,OrangeWhite,5
3,16,naa,5,OrangeWhite,6
3,16,naa,5,OrangeWhite,7
3,16,naa,5,OrangeWhite,8
3,16,naa,5,OrangeWhite,9
3,16,naa,5,OrangeWhite,10
3,19,ethephon,5,BlackWhite,1
3,19,ethephon,5,BlackWhite,2
3,19,ethephon,5,BlackWhite,3
3,19,ethephon,5,BlackWhite,4
3,19,ethephon,5,BlackWhite,5
3,19,ethephon,5,BlackWhite,6
3,19,ethephon,5,BlackWhite,7
3,19,ethephon,5,BlackWhite,8
3,19,ethephon,5,BlackWhite,9
3,19,ethephon,5,BlackWhite,10
