row,tree,plot,treatment,rep,flag,drops1,drops2,drops3,drops4
1,3,1,naa,1,OrangeWhite,,,,
1,7,2,ethephon,1,BlackWhite,,,,
1,17,3,avg,1,BlueBlack,,,,
1,24,4,avg,2,BlueBlack,,,,
1,31,5,ethephon,2,BlackWhite,,,,
2,3,6,ctrl,1,Pink,,,,
2,6,7,ctrl,2,Pink,,,,
2,10,8,avg,3,BlueBlack,,,,
2,14,9,ethephon,3,BlackWhite,,,,
2,19,10,avg,4,BlueBlack,,,,
2,25,11,ethephon,4,BlackWhite,,,,
2,30,12,ctrl,3,Pink,,,,
3,3,13,naa,2,OrangeWhite,,,,
3,9,14,naa,3,OrangeWhite,,,,
3,13,15,naa,4,OrangeWhite,,,,
3,17,16,naa,5,OrangeWhite,,,,
3,21,17,ctrl,4,Pink,,,,
3,29,18,avg,5,BlueBlack,,,,
3,33,19,ethephon,5,BlackWhite,,,,
3,37,20,ctrl,5,Pink,,,,
